题目,难度,是否前十
1787969,400,False
1821114,400,True
1981568,400,True
1755513,400,False
1811111,400,True
2134034,400,False
1821096,400,False
2496286,400,False
2080787,500,True
1368495,500,True
600634,500,False
2080940,500,True
2429510,500,False
2524476,500,True
1951129,500,False
1728288,500,True
1951322,500,False
1892276,500,True
2426789,500,True
1564676,500,True
1895155,500,False
1892275,500,True
1895148,500,False
1728448,500,False
598617,500,False
2471729,500,False
2264253,500,True
1941525,500,False
2265807,500,True
2101037,500,False
2126856,500,False
1171416,500,True
2518145,500,False
1920875,500,False
1885436,500,False
1353387,500,False
2265846,500,False
2432012,500,False
1470877,500,False
2265532,500,True
2267191,500,False
2265712,500,False
1944092,500,False
1657054,500,False
2270648,500,True
2263809,500,True
1487165,500,False
2265598,500,False
1712663,600,False
1712629,600,False
1712072,600,True
1712354,600,True
1712258,600,False
2056909,600,False
2055402,600,False
1711920,600,True
2056616,600,False
1712146,600,False
1712808,600,False
1712417,600,False
1712101,600,False
2056650,600,False
1712719,600,False
1711789,600,False
1711830,600,False
1712565,600,False
2056240,600,True
1715024,600,True
996392,800,False
2070183,800,True
2070167,800,False
996684,800,True
2070209,800,False
2070158,800,False
994983,800,False
448626,800,False
447093,800,False
60560,800,False
2069750,800,False
1181685,800,True
2070170,800,False
1123461,800,True
2069982,800,True
2069739,800,True
2070593,800,False
635316,800,False
1765,800,False
3585,800,False
21207,800,True
162220,800,False
2069732,800,False
89252,800,False
1542283,800,False
1808606,800,False
983395,800,False
1377284,800,False
1627017,800,False
1944108,800,True
1535737,800,True
1672016,800,True
2489164,800,False
1133623,800,True
2416453,800,False
1007417,800,True
658110,800,False
2423057,800,True
1377318,800,False
1670657,800,False
1377228,800,False
1006974,800,False
1125622,800,False
2090819,800,False
2423920,800,True
657993,800,True
658133,800,True
1006871,800,False
2091009,800,False
1007817,800,False
1573261,800,False
1132604,800,False
2091069,800,True
2090826,800,True
658868,800,False
658055,800,True
1829694,800,True
2090800,800,True
2090838,800,False
2090932,800,False
1892285,800,True
2090824,800,False
659249,800,False
1377196,800,True
702555,800,False
1708660,800,False
1315454,800,True
1316136,800,False
900335,800,True
2017952,800,True
1315640,800,True
2018417,800,False
2017481,800,True
1440723,800,True
1931836,800,False
1707728,800,False
2017849,800,False
875735,800,False
606697,800,True
1708537,800,False
606700,800,True
1275814,800,False
2018063,800,False
1315634,800,False
2016062,800,False
1499470,800,False
2152001,800,True
1315367,800,True
882552,800,False
1315952,800,False
2016036,800,False
738299,800,False
2019561,800,True
2019213,800,False
1967518,800,False
1708622,800,False
1040092,800,True
1316555,800,False
1315763,800,False
1318049,800,False
1709435,800,False
1315954,800,False
2019058,800,False
869834,800,True
2017258,800,False
2016008,800,False
2016660,800,False
2016973,800,False
869366,800,False
1276118,800,False
1315639,800,False
1702029,900,True
1701863,900,False
1701986,900,True
1701978,900,True
708854,900,False
1543726,1000,True
1543739,1000,False
59620,1000,False
151748,1000,False
151737,1000,True
441673,1000,False
441719,1000,True
1892796,1000,False
1605823,1000,False
1605822,1000,False
1603707,1000,False
1603969,1000,True
1603837,1000,True
1892856,1000,False
2389348,1000,True
2326646,1000,True
1947145,1000,False
2417836,1000,False
1514796,1000,False
2337715,1000,False
1304417,1000,False
1304123,1000,False
1878747,1000,True
1878869,1000,False
1514855,1000,False
2323408,1000,False
1258527,1000,False
1527034,1000,False
1878757,1000,False
1890857,1000,False
1515106,1000,True
1260415,1000,False
1878441,1000,False
1514834,1000,False
1878809,1000,False
723217,1000,False
1514830,1000,False
1514926,1000,False
1514822,1000,False
1980799,1000,True
2322217,1000,True
1878718,1000,False
1947143,1000,True
2485283,1000,False
2327668,1000,True
1258558,1000,False
1456572,1000,False
1514916,1000,True
1514824,1000,True
1527037,1000,False
2325481,1000,False
1514861,1000,False
1980820,1000,True
1304596,1000,False
1878864,1000,False
1529349,1000,False
1515145,1000,True
2491488,1000,False
1878736,1000,False
1258550,1000,False
1514953,1000,False
1609368,1000,False
1514995,1000,False
1701594,1000,False
1878523,1000,False
2325046,1000,False
1894312,1000,False
1701247,1000,False
1878765,1000,False
78089,1000,False
150749,1000,False
78121,1000,False
78215,1000,False
2391614,1000,True
1233286,1000,True
1880536,1000,False
2401567,1000,True
1883457,1000,True
1168212,1100,False
1952299,1100,False
1233018,1100,False
120724,1100,False
1948716,1100,False
1948386,1100,False
1952300,1100,False
1951693,1100,False
1949573,1100,False
1266311,1100,False
1418184,1100,False
1948214,1100,False
1948968,1100,False
1950180,1100,False
1168036,1100,False
1949761,1100,False
1951520,1100,False
1295300,1100,False
1170275,1100,False
2555655,1100,False
1948748,1100,False
1628100,1100,False
1168586,1100,True
1948436,1100,False
1947370,1100,False
1628369,1100,False
1325654,1100,False
1163747,1100,False
2555656,1100,False
1169680,1100,False
1952779,1100,False
1266307,1100,False
1164217,1100,False
1640854,1200,True
1643302,1200,False
1562780,1200,True
1150762,1200,False
2508769,1200,False
1938352,1200,False
1558609,1200,False
812624,1200,False
2500525,1200,False
1940306,1200,False
1558434,1200,False
2536742,1200,False
175175,1200,False
1152028,1200,False
1149697,1200,False
1560541,1200,False
2499579,1200,False
2499378,1200,True
2515565,1200,False
1939527,1200,False
1560389,1200,True
1151754,1200,False
1562829,1200,False
1939786,1200,True
1562399,1200,False
820737,1200,False
1937579,1200,False
1563031,1200,False
1562886,1200,False
2510152,1200,True
2503240,1200,False
1558693,1200,False
1157241,1200,False
1938383,1200,False
56714,1200,True
2500324,1200,True
1938817,1200,True
1940515,1200,False
2504185,1200,True
2518592,1200,False
1151059,1200,False
1940136,1200,False
1562850,1200,False
2499468,1200,False
2504454,1200,True
110632,1200,False
1593774,1300,False
1594767,1300,False
1593160,1300,False
1592212,1300,False
1591272,1300,False
1596029,1300,False
1096945,1300,False
1592066,1300,False
1597133,1300,False
1593609,1300,False
1591957,1300,True
1598133,1300,True
1592700,1300,False
1594762,1300,False
1592821,1300,True
1592643,1300,False
1592261,1300,False
1592180,1300,False
1638328,1300,False
1100429,1300,False
1591327,1300,False
1594764,1300,False
1100428,1300,False
1593162,1300,True
1386864,1400,False
1386124,1400,False
1089183,1400,False
1089120,1400,False
1661469,1600,False
1419732,1600,False
2034066,1600,False
1480915,1600,False
1976113,1600,False
1663961,1600,False
1675530,1600,False
1578953,1600,True
2033945,1600,False
1676509,1600,False
1581889,1600,False
2034026,1600,False
1752010,1600,True
2453806,1600,False
1480587,1600,False
1580042,1600,False
1677614,1600,False
1675324,1600,False
1722536,1600,False
1676553,1600,False
1675504,1600,False
2035796,1600,False
1677125,1600,True
2034134,1600,False
1578879,1600,False
1678194,1600,False
1481160,1600,False
1481850,1600,True
1579800,1600,True
2034595,1600,False
1675894,1600,False
1675852,1600,False
2453063,1600,False
1480597,1600,False
2453780,1600,True
2035662,1600,False
2525479,1600,False
2042549,1600,False
2446264,1600,True
1676219,1600,False
1481836,1600,True
2448279,1600,False
1634111,1600,False
1675392,1600,False
1480589,1600,True
1480595,1600,False
2512581,1600,True
1663456,1600,True
1675728,1600,False
1646044,1600,True
2512578,1600,True
1481933,1600,False
1677867,1600,True
1583674,1600,False
1676314,1600,False
1676480,1600,False
1677721,1600,False
1662533,1600,True
2446925,1600,False
1675276,1600,False
1480605,1600,True
2370025,1600,True
1675744,1600,True
2036178,1600,False
2034041,1600,False
1676683,1600,False
1935542,1600,False
2034145,1600,False
2453778,1600,True
2445422,1600,False
2034599,1600,False
2451866,1600,False
1481848,1600,True
2512588,1600,False
1678348,1600,False
1978294,1600,False
2034232,1600,False
1643309,1600,False
1642793,1600,True
2451402,1600,False
1480674,1600,True
2446320,1600,False
1812512,1600,False
1676278,1600,True
1585637,1600,False
1519973,1600,False
1675529,1600,False
1481778,1600,True
1480664,1600,True
1480602,1600,False
2512587,1600,False
1617928,1600,True
2496264,1600,False
2335830,1600,False
1481537,1600,False
1676493,1600,False
1480714,1600,True
1675395,1600,True
1677752,1600,False
1976123,1600,False
1480598,1600,False
2338493,1600,True
2033993,1600,False
1769081,1600,False
1677243,1600,False
2035661,1600,False
1481589,1600,False
1579859,1600,True
1526297,1600,False
2035516,1600,False
2446811,1600,False
2447176,1600,False
1973650,1600,False
1761869,1600,False
1675694,1600,False
1481309,1600,False
2336381,1600,False
2367327,1600,False
1481467,1600,False
1519444,1600,False
1991207,1600,False
1662835,1600,False
1973649,1600,False
1985041,1600,True
2035560,1600,False
1718120,1800,False
1718122,1800,False
1717768,1800,False
1300822,1800,False
2040917,1800,False
2039350,1800,False
2039619,1800,False
1288914,2000,False
1847266,2000,False
