题目,难度,是否前十
35828090,5,True
36163929,5,True
35822468,5,False
35820796,5,True
41798416,5,True
43395406,5,True
41493929,5,True
32625539,5,True
34682793,5,True
35821976,5,False
35821843,5,True
35822273,5,True
31762060,6,True
40575091,6,True
35363685,6,True
36006854,6,True
31487156,6,True
35164437,6,True
35856161,6,False
31150133,6,True
35827798,6,True
35826648,6,True
36337380,6,True
37414176,6,True
36844497,6,True
40130548,6,True
39275653,6,True
39559049,6,True
38289964,6,True
44389301,6,True
35855999,6,False
37951030,6,True
38176973,7,True
35198991,7,True
39144673,7,True
35820365,7,True
31486704,7,True
37230243,7,True
38096071,7,True
34839601,7,True
38818397,7,True
41482671,7,True
36502447,7,True
34066436,7,True
35322264,7,True
34127074,7,True
35816714,7,True
41829656,7,True
40873575,7,True
43058988,7,True
35816711,7,True
35383697,7,False
37053258,7,True
38236036,7,True
38950876,7,True
45295076,7,True
37788123,7,True
43291283,7,False
33914798,7,True
38117564,7,True
37754220,7,True
38183979,7,True
39594594,7,False
38084620,7,True
42756175,7,False
37699742,7,True
41469002,7,True
38241419,7,True
37058278,8,True
40359953,8,False
45996621,8,True
39364580,8,False
41468876,8,True
40085369,8,False
44362799,8,True
38523224,8,True
36564265,8,True
36358945,8,True
36726139,8,False
38541637,8,True
38430336,8,True
34959536,8,True
41766743,8,True
41122737,8,True
35205903,9,True
36376050,9,True
35822527,9,False
35822050,9,False
31506740,9,True
36091114,9,True
34654668,9,True
38673285,9,True
30976853,9,True
42020207,10,True
41497748,10,True
36706818,10,True
38748942,10,True
45490610,10,True
38271049,10,True
38114865,10,True
37447678,10,True
36502222,10,True
46027471,10,True
37607320,10,True
36490687,10,True
39322844,11,True
43509799,11,True
40290758,11,True
38824712,11,True
41596313,12,False
37934384,12,True
41077629,12,True
46204168,12,False
38988299,13,True
39750942,13,True
40154542,13,True
40290194,13,True
38558136,13,False
41470373,13,True
41659330,13,True
38143541,13,True
45933456,13,False
39596159,13,False
40809724,13,False
39597595,13,True
45058678,13,True
41474445,13,True
44186643,13,True
35825007,14,True
35824355,14,True
35931888,14,True
45935806,14,True
35814918,15,False
39120071,16,False
39368298,16,True
37230711,17,True
40008972,17,True
37387802,17,True
39653253,17,True
36905866,17,True
39175872,17,True
44077283,17,False
37233525,18,False
41141941,18,True
46199947,18,True
37653468,18,True
37215676,18,True
39838217,19,False
33554690,20,False
41602961,20,False
36335376,20,False
31778158,20,True
41629306,20,False
39784740,21,True
31478784,21,True
36879488,22,True
40532983,22,True
46158021,22,True
35934171,22,False
42234047,22,True
36031432,22,True
40065779,22,False
40808678,22,True
36933799,22,True
45712643,22,False
45465589,22,False
44203241,23,False
41296427,23,False
36031181,23,True
44170835,23,True
39490709,23,True
36495255,23,False
36004580,23,True
36006140,23,True
40574325,24,True
35814777,25,False
41489461,25,True
36518471,25,True
40507837,25,True
39138213,25,True
42097498,25,True
38766997,25,True
38930886,25,True
37405140,25,True
45094512,25,True
45229624,25,True
45514219,25,True
37785115,25,True
40361044,25,True
42053247,25,True
37775211,25,True
43335381,25,True
36008790,25,True
40360900,25,True
36787644,25,True
35827670,26,False
31751326,26,True
38759774,26,True
38942864,26,True
36008869,26,True
40552182,26,True
32621700,26,True
40917732,26,True
37436949,26,True
45298199,26,True
40986022,27,True
37235062,27,True
39499285,27,True
45068489,27,False
40377905,27,False
43086733,28,True
41092189,28,True
39764798,28,True
39597239,28,True
36647328,28,True
35930572,29,True
