题目,难度,是否前十
35828090,5,False
36163929,5,True
35822468,5,True
35820796,5,True
41798416,5,False
43395406,5,False
41493929,5,True
32625539,5,True
34682793,5,False
35821976,5,False
35821843,5,True
35822273,5,True
31762060,6,True
40575091,6,True
35363685,6,True
36006854,6,False
31487156,6,True
35164437,6,True
35856161,6,False
31150133,6,True
35827798,6,False
35826648,6,False
36337380,6,False
37414176,6,False
36844497,6,False
40130548,6,False
39275653,6,False
39559049,6,False
38289964,6,False
44389301,6,True
35855999,6,False
37951030,6,False
38176973,7,True
35198991,7,False
39144673,7,True
35820365,7,False
31486704,7,False
37230243,7,False
38096071,7,False
34839601,7,False
38818397,7,False
41482671,7,True
36502447,7,False
34066436,7,True
35322264,7,True
34127074,7,False
35816714,7,True
41829656,7,False
40873575,7,False
43058988,7,False
35816711,7,True
35383697,7,True
37053258,7,False
38236036,7,True
38950876,7,False
45295076,7,False
37788123,7,True
43291283,7,False
33914798,7,False
38117564,7,False
37754220,7,True
38183979,7,False
39594594,7,False
38084620,7,True
42756175,7,False
37699742,7,True
41469002,7,True
38241419,7,False
37058278,8,False
40359953,8,False
45996621,8,False
39364580,8,False
41468876,8,False
40085369,8,False
44362799,8,True
38523224,8,True
36564265,8,True
36358945,8,True
36726139,8,False
38541637,8,True
38430336,8,False
34959536,8,True
41766743,8,True
41122737,8,True
35205903,9,False
36376050,9,True
35822527,9,False
35822050,9,False
31506740,9,True
36091114,9,True
34654668,9,True
38673285,9,False
30976853,9,True
42020207,10,True
41497748,10,False
36706818,10,False
38748942,10,True
45490610,10,False
38271049,10,True
38114865,10,True
37447678,10,True
36502222,10,False
46027471,10,True
37607320,10,False
36490687,10,True
39322844,11,False
43509799,11,True
40290758,11,True
38824712,11,False
41596313,12,False
37934384,12,True
41077629,12,False
46204168,12,False
38988299,13,False
39750942,13,False
40154542,13,False
40290194,13,False
38558136,13,False
41470373,13,False
41659330,13,True
38143541,13,False
45933456,13,False
39596159,13,False
40809724,13,False
39597595,13,False
45058678,13,False
41474445,13,False
44186643,13,False
35825007,14,False
35824355,14,False
35931888,14,False
45935806,14,True
35814918,15,False
39120071,16,False
39368298,16,False
37230711,17,False
40008972,17,True
37387802,17,True
39653253,17,True
36905866,17,False
39175872,17,False
44077283,17,False
37233525,18,False
41141941,18,False
46199947,18,False
37653468,18,True
37215676,18,True
39838217,19,False
33554690,20,False
41602961,20,False
36335376,20,False
31778158,20,False
41629306,20,False
39784740,21,True
31478784,21,True
36879488,22,True
40532983,22,True
46158021,22,True
35934171,22,True
42234047,22,False
36031432,22,True
40065779,22,False
40808678,22,False
36933799,22,False
45712643,22,False
45465589,22,False
44203241,23,False
41296427,23,False
36031181,23,False
44170835,23,False
39490709,23,False
36495255,23,False
36004580,23,False
36006140,23,False
40574325,24,False
35814777,25,False
41489461,25,False
36518471,25,False
40507837,25,False
39138213,25,False
42097498,25,False
38766997,25,False
38930886,25,True
37405140,25,False
45094512,25,False
45229624,25,True
45514219,25,False
37785115,25,False
40361044,25,True
42053247,25,True
37775211,25,False
43335381,25,True
36008790,25,False
40360900,25,False
36787644,25,True
35827670,26,False
31751326,26,True
38759774,26,False
38942864,26,True
36008869,26,False
40552182,26,False
32621700,26,True
40917732,26,True
37436949,26,False
45298199,26,False
40986022,27,False
37235062,27,False
39499285,27,False
45068489,27,False
40377905,27,False
43086733,28,False
41092189,28,False
39764798,28,False
39597239,28,True
36647328,28,False
35930572,29,False
39559464,29,False
38171978,29,False
32431442,30,False
41262899,30,False
31985308,30,False
42762772,30,False
41480560,34,False
35969509,34,False
37085130,34,False
39659757,37,False
34189432,37,False
33568193,37,False
31991091,37,False
32060723,37,False
32762665,37,True
31778487,37,False
34914575,37,False
35803808,37,False
33527521,37,False
36702599,37,False
42744397,37,False
34955722,37,False
40717129,37,False
36480597,37,False
44485526,37,False
40962045,39,True
37396442,39,False
43084389,39,False
41994888,39,True
37234654,39,False
41127680,40,False
35859578,40,False
39768975,40,False
36217434,40,False
35823320,40,False
36157284,41,True
41616850,41,True
36943089,41,True
42060801,41,False
41107490,41,False
41112929,41,False
35833338,42,False
35830288,42,True
45939520,42,True
39538384,42,False
36884154,42,False
34193156,42,False
39824908,42,False
39838809,45,False
45784125,45,False
37723878,45,False
41619095,45,True
39520861,45,False
42744914,45,False
39556353,46,False
34717128,46,False
35804211,47,False
36009120,48,False
41703534,51,True
37579490,51,True
37743068,51,False
37735588,51,True
40789642,51,False
35960124,55,False
41861071,55,False
34490980,55,False
36911248,55,True
34818581,55,True
41090309,55,False
39759164,55,False
34894448,55,False
38489768,57,False
39476501,57,False
37104826,57,True
35783392,57,True
39746427,57,False
32510201,57,True
32100030,57,False
31985000,57,True
37614473,58,False
38131848,58,False
42085215,60,False
37378925,60,False
31905604,62,False
37898752,62,False
39207941,64,False
44839357,64,False
40144413,64,False
40391437,64,True
39201861,64,True
44606166,64,False
41462949,66,False
39098757,66,False
39730841,66,False
38993379,66,False
44835970,66,False
41619931,68,False
43023184,72,False
46182357,72,False
36357687,74,False
36358075,74,False
36349852,74,False
39835201,79,False
31791952,80,False
36028662,81,False
40109349,82,False
36124570,82,True
38135248,82,False
36286439,82,True
39537559,82,False
35777607,82,True
41622328,83,False
37040464,83,False
36119404,95,True
40565247,95,False
41620827,95,True
37288030,103,False
35814963,103,False
36295991,103,False
38556844,103,False
41847550,103,False
41842824,104,False
41819913,106,False
39550872,106,False
45784672,106,False
38571992,106,False
42054949,106,False
40795105,106,False
40325124,106,False
45040873,106,False
42045770,123,False
44866224,123,False
40391146,131,False
38101805,136,False
44905497,143,False
37919370,147,False
39740227,147,True
39765997,147,False
42172145,147,False
39759478,152,False
45076816,152,False
37749460,152,False
39222532,152,False
45229510,152,False
40816235,152,False
42032187,152,False
46000992,152,False
38010760,152,False
45007102,152,True
45800810,165,False
